No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
220,08/04/2023,MGV 78,Lafa,Arecaceae,Ravenea,robustior,Ravenea robustior,FR,0.94,69.7336920,53.5133267,15.3979227,6.6236006,4.23,4.7727726,2.8673955,18.3951238,15.63261329,2.954148971
221,08/04/2023,MGV 79,Hazonovy,NA,NA,NA,NA,FR,0.95,54.5755218,47.0405891,22.5090301,3.8697277,2.57,4.3387043,1.5775069,36.9344382,,
222,08/04/2023,MGV 80,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.89,64.5777389,53.5603498,27.3636897,5.8964476,1.06,2.6175783,9.4875653,22.2542327,13.03713869,2.223621315
223,08/04/2023,MGV 81,Ramy,Burseraceae,Canarium,madagascariensis,Canarium madagascariensis,FR,0.95,27.77,2.70,9.26,11.64,7.26,16.31,12.99,35.6709772,,
224,08/04/2023,MGV 82,Kalamasimbarika,Melastomataceae,Medinilla,sp.,Medinilla sp,LE,0.93,58.20,46.10,31.63,28.99,15.94,2.62,12.26,10.9805883,,
225,08/04/2023,MGV 83,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.98,45.45,43.8513254,40.09,9.2371520,3.30,37.69,6.6559630,6.9027654,,
226,01/05/2023,MGV 84,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.95,53.1859338,45.4527473,28.1373953,15.5208028,5.76,3.3550718,7.9581383,29.7432984,,
227,01/05/2023,MGV 85,Tambonetra,NA,NA,NA,NA,LE,0.92,39.2395164,22.9857582,9.9247908,13.0600627,6.08,4.1690502,5.6242124,44.8865743,,
228,01/05/2023,MGV 86,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.93,46.2350701,41.5800799,27.2942368,9.5694240,-0.37,1.8299592,8.2380703,44.0704458,,
229,01/05/2023,MGV 87,Ramiavotoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.95,47.3028059,35.0627744,23.3123100,24.7721293,16.41,7.0355196,7.6991117,21.5483477,,
