No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
81,10/02/2023,TALA 81,Voatakaboka,NA,NA,NA,NA,FR,0.92,14.8071120,10.5092653,3.4354765,13.6280325,11.52,3.3508893,8.8250167,61.4977638,,
82,10/02/2023,TALA 82,Ramandriona,Proteaceae,Delobeia,thouarsii,Delobeia thouarsii,FR,0.95,28.2242436,24.2710187,13.3507284,11.6572931,8.85,3.1550801,7.5274487,52.2438765,,
83,10/03/2023,TALA 83,Voakiringy,NA,NA,NA,NA,FR,0.95,71.7403403,57.4051497,21.4620163,5.8292022,2.08,1.8408328,3.6469501,20.6968304,,
84,10/03/2023,TALA 84,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.95,47.4752027,37.4236924,24.6271842,16.5890193,11.43,19.8908973,4.9351059,16.2707453,4.395933014,0.9114467
85,10/03/2023,TALA 85,Vahaporisitra,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
86,10/03/2023,TALA 86,Apaly ala,NA,NA,NA,NA,FR,0.94,31.4256614,25.9190580,10.5378355,18.8869070,14.76,7.4779449,8.8834791,37.4550851,,
87,10/03/2023,TALA 87,Hafitra taikalalao,Malvaceae,Grewia,sp.,Grewia sp.,FR,0.95,52.8513971,39.9453877,19.6536737,14.0602441,11.32,4.0741831,3.3239562,28.4303573,,
88,10/03/2023,TALA 88,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,66.0065218,51.5692399,24.8034070,6.6101434,2.45,3.2563775,5.5983511,22.6884838,,
89,10/03/2023,TALA 89,Fantsy,Apocynaceae,Carissa,edulis,Carissa edulis,FR,0.95,49.6728363,38.5613283,24.0984996,7.4083982,1.90,14.5965491,2.6166285,31.2141119,,
90,10/03/2023,TALA 90,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.94,42.2102632,39.0415025,29.0848879,7.3035381,3.95,2.5152106,2.2723741,49.0541732,,
91,10/03/2023,TALA 91,Akondro,Musaceae,Ensete,perrieri,Ensete perrieri,FR,0.95,7.0396938,4.4666839,3.4499912,4.3017567,2.91,1.5266796,0.2116650,88.3107612,60.59059863,27.9003962
92,10/03/2023,TALA 92,Voatakaboka,NA,NA,NA,NA,FR,0.94,7.3122721,3.5910332,0.7802830,14.8375647,13.21,2.0644062,9.3343316,68.0750147,18.19390716,24.5126371
93,10/03/2023,TALA 93,Tavolomalady,Lauraceae,Cryptocarya,acuminata,Cryptocarya acuminata,FR,0.96,39.4159803,33.3959277,24.0565220,12.6251714,NA,1.0379878,3.1431963,43.7776641,,
